,id,new_spec,hydrogen,nitrogen,ammonia,iron,water,nickel,cobalt,magnesium silicate,iron silicate,aluminum,nickel-iron,platinum
152,bK06W00B,Xk,,,,88,,10,0.5,,,,,
153,bK06X00W,O,,,,,,,,,,,2.965,1.25
154,bK06X04P,S,,,,,,,,1e-30,0,,,
155,bK06X04W,Sr,,,,,,,,1e-30,0,,,
156,bK06Y00M,Sr,,,,,,,,1e-30,0,,,
157,bK06Y00P,X,,,,88,,10,0.5,,,,,
158,bK07A02A,Q,,,,,,,,,,,13.315,
159,bK07C05S,Sq,,,,,,,,1e-30,0,,,
160,bK07C26M,S,,,,,,,,1e-30,0,,,
161,bK07E00C,Sq,,,,,,,,1e-30,0,,,
162,bK07H00C,Sk,,,,,,,,1e-30,0,,,
163,bK07H04L,S,,,,,,,,1e-30,0,,,
164,bK07P09S,Cb,0.235,0.001,0.001,0.083,0.1,0.007,0.001,,,,,
165,bK07R08X,Q,,,,,,,,,,,13.315,
166,bK07R12T,S,,,,,,,,1e-30,0,,,
167,bK07R17O,C,0.235,0.001,0.001,0.166,0.2,0.014,0.002,,,,,
168,bK07S06Q,X,,,,88,,10,0.5,,,,,
169,bK07T03H,V,,,,,,,,1e-30,0,,,
170,bK07T15F,S,,,,,,,,1e-30,0,,,
171,bK07T71E,S,,,,,,,,1e-30,0,,,
172,bK07U01W,Sk,,,,,,,,1e-30,0,,,
173,bK07U01Y,C,0.235,0.001,0.001,0.166,0.2,0.014,0.002,,,,,
174,bK07U06P,V,,,,,,,,1e-30,0,,,
175,bK07V83V,Sq,,,,,,,,1e-30,0,,,
176,bK07W00A,B,0.235,0.001,0.001,10,,,,,,,,
177,bK07Y00F,Sk,,,,,,,,1e-30,0,,,
178,bK07Y01J,X,,,,88,,10,0.5,,,,,
179,bK07Y56T,Xk,,,,88,,10,0.5,,,,,
180,bK08A04G,Q,,,,,,,,,,,13.315,
181,bK08B02T,C,0.235,0.001,0.001,0.166,0.2,0.014,0.002,,,,,
182,bK08CB9K,Sq,,,,,,,,1e-30,0,,,
183,bK08D00B,S,,,,,,,,1e-30,0,,,
184,bK08E85J,X,,,,88,,10,0.5,,,,,
185,bK08F00O,O,,,,,,,,,,,2.965,1.25
186,bK08F06X,S,,,,,,,,1e-30,0,,,
187,bK08F07J,Xc,,,,88,,10,0.5,,,,,0.005
188,bK08J00E,X,,,,88,,10,0.5,,,,,
189,bK08L02G,Xc,,,,88,,10,0.5,,,,,0.005
190,bK08L02H,V,,,,,,,,1e-30,0,,,
191,bK08O10N,S,,,,,,,,1e-30,0,,,
192,bK08P02G,Sq,,,,,,,,1e-30,0,,,
193,bK08P04W,X,,,,88,,10,0.5,,,,,
194,bK08R01H,S,,,,,,,,1e-30,0,,,
195,bK08S00A,C,0.235,0.001,0.001,0.166,0.2,0.014,0.002,,,,,
196,bK08T03X,Sq,,,,,,,,1e-30,0,,,
